RECORDING_SESSION_LABEL,TRIAL_INDEX,image,experiment,n_fix,fix_mean,fix_max,norm_fix_mean,norm_fix_max,x_regressions,y_regressions
36,3,ReadingWITHinterference.jpg,1,55,232.363636363636,518,0.448578448578449,1,21,26
36,4,ReadingWITHOUTinterference.jpg,1,42,240,1292,0.185758513931889,1,14,18
37,1,NamingWITHinterference.jpg,2,77,254,732,0.346994535519126,1,22,31
37,2,NamingWITHOUTinterference.jpg,2,135,237.733333333333,1044,0.227713920817369,1,49,51
37,3,ReadingWITHOUTinterference.jpg,2,59,232.983050847458,582,0.400314520356456,1,18,20
37,4,ReadingWITHinterference.jpg,2,49,251.265306122449,782,0.321311133148912,1,13,20
38,1,NamingWITHOUTinterference.jpg,3,109,216.128440366972,774,0.27923571106844,1,46,57
38,2,NamingWITHinterference.jpg,3,113,239.008849557522,1680,0.142267172355668,1,46,54
38,3,ReadingWITHinterference.jpg,3,75,218,656,0.332317073170732,1,30,32
38,4,ReadingWITHOUTinterference.jpg,3,65,201.076923076923,500,0.402153846153846,1,24,30
39,1,NamingWITHOUTinterference.jpg,4,103,435.281553398058,5598,0.0777566190421683,1,30,45
39,2,NamingWITHinterference.jpg,4,71,318.422535211268,930,0.342389822807815,1,24,31
39,3,ReadingWITHOUTinterference.jpg,4,84,360.238095238095,4110,0.0876491715907774,1,35,37
39,4,ReadingWITHinterference.jpg,4,54,245.666666666667,926,0.265298776097912,1,22,27
40,1,ReadingWITHinterference.jpg,5,84,351.642857142857,2030,0.173223082336383,1,45,41
40,2,ReadingWITHOUTinterference.jpg,5,47,302.808510638298,1890,0.160216143194867,1,20,18
40,3,NamingWITHinterference.jpg,5,92,364.695652173913,1354,0.269346862757691,1,41,43
40,4,NamingWITHOUTinterference.jpg,5,62,307.935483870968,1036,0.297235023041475,1,26,31
41,1,ReadingWITHinterference.jpg,6,92,185.326086956522,850,0.218030690537084,1,36,44
41,2,ReadingWITHOUTinterference.jpg,6,51,201.333333333333,804,0.250414593698176,1,18,26
41,3,NamingWITHOUTinterference.jpg,6,49,305.632653061225,652,0.468761737823964,1,21,27
41,4,NamingWITHinterference.jpg,6,62,371.451612903226,1492,0.248962207039696,1,21,34
42,1,ReadingWITHOUTinterference.jpg,7,89,257.775280898876,942,0.273646795009423,1,40,40
42,2,ReadingWITHinterference.jpg,7,83,269.831325301205,784,0.344172608802557,1,31,37
42,3,NamingWITHinterference.jpg,7,129,277.674418604651,1374,0.202092007718087,1,57,57
42,4,NamingWITHOUTinterference.jpg,7,90,230.888888888889,810,0.285048010973937,1,40,44
43,1,ReadingWITHOUTinterference.jpg,8,123,359.39837398374,1532,0.234594238892781,1,54,62
43,2,ReadingWITHinterference.jpg,8,56,289.857142857143,2906,0.0997443712515977,1,22,25
43,3,NamingWITHOUTinterference.jpg,8,41,361.073170731707,1210,0.298407579117113,1,17,21
43,4,NamingWITHinterference.jpg,8,57,344.385964912281,952,0.361749963143152,1,27,23
44,1,NamingWITHinterference.jpg,1,54,261,652,0.400306748466258,1,18,29
44,2,NamingWITHOUTinterference.jpg,1,39,276.102564102564,662,0.417073359671547,1,12,22
44,3,ReadingWITHinterference.jpg,1,50,340.72,952,0.357899159663866,1,22,22
44,4,ReadingWITHOUTinterference.jpg,1,40,277.05,1466,0.188983628922237,1,13,19
45,1,NamingWITHinterference.jpg,2,124,260.306451612903,1618,0.160881614099446,1,56,59
45,2,NamingWITHOUTinterference.jpg,2,56,301.75,1028,0.293531128404669,1,24,24
45,3,ReadingWITHOUTinterference.jpg,2,56,273.178571428571,1184,0.230725144787645,1,26,28
45,4,ReadingWITHinterference.jpg,2,38,295.263157894737,1124,0.262689642255104,1,15,20
46,1,NamingWITHOUTinterference.jpg,3,89,296.359550561798,1052,0.281710599393344,1,28,45
46,2,NamingWITHinterference.jpg,3,60,274.233333333333,1232,0.222591991341991,1,21,23
46,3,ReadingWITHinterference.jpg,3,62,275.290322580645,922,0.298579525575537,1,19,28
46,4,ReadingWITHOUTinterference.jpg,3,48,272.75,758,0.359828496042216,1,17,21
47,1,NamingWITHOUTinterference.jpg,4,80,308.7,1428,0.216176470588235,1,30,36
47,2,NamingWITHinterference.jpg,4,54,349.296296296296,1236,0.282602181469495,1,19,32
47,3,ReadingWITHOUTinterference.jpg,4,53,294.830188679245,766,0.384895807675255,1,22,23
47,4,ReadingWITHinterference.jpg,4,37,306.216216216216,770,0.397683397683398,1,13,17
48,1,ReadingWITHinterference.jpg,5,60,269.2,752,0.357978723404255,1,26,19
48,2,ReadingWITHOUTinterference.jpg,5,58,264.241379310345,1686,0.156726796743977,1,25,24
48,3,NamingWITHinterference.jpg,5,55,339.818181818182,1146,0.296525464064731,1,26,22
48,4,NamingWITHOUTinterference.jpg,5,49,301.387755102041,960,0.313945578231292,1,22,21
49,1,ReadingWITHinterference.jpg,6,53,282.264150943396,814,0.346761856195818,1,23,25
49,2,ReadingWITHOUTinterference.jpg,6,36,380.722222222222,1088,0.349928513071895,1,12,16
49,3,NamingWITHOUTinterference.jpg,6,38,379.578947368421,1258,0.301732072629905,1,19,20
49,4,NamingWITHinterference.jpg,6,37,427.891891891892,1422,0.300908503440149,1,19,17
50,1,ReadingWITHOUTinterference.jpg,7,83,387.10843373494,1822,0.212463465277135,1,32,47
50,2,ReadingWITHinterference.jpg,7,46,401.173913043478,962,0.417020699629395,1,16,20
50,3,NamingWITHinterference.jpg,7,84,358.952380952381,1916,0.18734466646784,1,39,39
50,4,NamingWITHOUTinterference.jpg,7,49,310.857142857143,964,0.322465915826912,1,23,25
51,1,ReadingWITHOUTinterference.jpg,8,93,247.978494623656,832,0.298051075268817,1,34,42
51,2,ReadingWITHinterference.jpg,8,54,246.851851851852,904,0.273066207800721,1,22,25
51,3,NamingWITHOUTinterference.jpg,8,57,239.298245614035,786,0.304450694165439,1,20,27
51,4,NamingWITHinterference.jpg,8,52,328.115384615385,874,0.375418060200669,1,19,25
52,1,NamingWITHinterference.jpg,2,71,333.549295774648,1060,0.314669146957215,1,29,32
52,2,NamingWITHOUTinterference.jpg,2,49,272.897959183673,772,0.35349476578196,1,19,24
52,3,ReadingWITHOUTinterference.jpg,2,50,266.12,674,0.394836795252225,1,23,22
52,4,ReadingWITHinterference.jpg,2,44,252.409090909091,964,0.2618351565447,1,22,21
53,1,ReadingWITHOUTinterference.jpg,7,122,234.950819672131,782,0.300448618506562,1,55,62
53,2,ReadingWITHinterference.jpg,7,102,248.980392156863,682,0.365073888793054,1,51,51
53,3,NamingWITHinterference.jpg,7,69,306.898550724638,982,0.312523982407981,1,29,34
53,4,NamingWITHOUTinterference.jpg,7,64,258.0625,674,0.382882047477745,1,31,29
54,1,NamingWITHOUTinterference.jpg,3,74,231.54054054054,592,0.391115777940102,1,24,38
54,2,NamingWITHinterference.jpg,3,46,264.695652173913,620,0.426928471248247,1,17,20
54,3,ReadingWITHinterference.jpg,3,54,230.111111111111,808,0.28479097909791,1,16,21
54,4,ReadingWITHOUTinterference.jpg,3,49,220,598,0.367892976588629,1,13,23
55,1,NamingWITHOUTinterference.jpg,4,64,418.3125,1342,0.31170827123696,1,22,38
55,2,NamingWITHinterference.jpg,4,44,475.090909090909,1500,0.316727272727273,1,18,26
55,3,ReadingWITHOUTinterference.jpg,4,43,454.186046511628,1360,0.333960328317373,1,14,24
55,4,ReadingWITHinterference.jpg,4,35,460.685714285714,1010,0.456124469589816,1,11,23
56,1,ReadingWITHinterference.jpg,5,108,239.481481481481,1554,0.154106487439821,1,42,56
56,2,ReadingWITHOUTinterference.jpg,5,72,244.444444444444,634,0.385559060637925,1,27,37
56,3,NamingWITHinterference.jpg,5,90,255.644444444444,1084,0.235834358343583,1,41,43
56,4,NamingWITHOUTinterference.jpg,5,68,260.617647058823,1538,0.169452306280119,1,33,41
57,1,ReadingWITHinterference.jpg,6,75,267.573333333333,1960,0.136517006802721,1,29,38
57,2,ReadingWITHOUTinterference.jpg,6,54,268.703703703704,1164,0.230845106274659,1,18,18
57,3,NamingWITHOUTinterference.jpg,6,77,235.376623376623,1196,0.196803196803197,1,26,33
57,4,NamingWITHinterference.jpg,6,91,208.703296703297,778,0.268256165428402,1,38,44
58,1,ReadingWITHOUTinterference.jpg,7,104,263.692307692308,1040,0.253550295857988,1,44,42
58,2,ReadingWITHinterference.jpg,7,62,311.645161290323,1102,0.282799601896844,1,26,28
58,3,NamingWITHinterference.jpg,7,71,329.239436619718,1038,0.317186355124969,1,33,30
58,4,NamingWITHOUTinterference.jpg,7,52,317.653846153846,864,0.367654914529914,1,19,24
59,1,ReadingWITHOUTinterference.jpg,8,84,324.928571428571,1240,0.262039170506912,1,28,42
59,2,ReadingWITHinterference.jpg,8,42,571.476190476191,3942,0.144971128989394,1,19,17
59,3,NamingWITHOUTinterference.jpg,8,51,364.705882352941,820,0.444763271162123,1,19,24
59,4,NamingWITHinterference.jpg,8,37,450.540540540541,1230,0.366293122390683,1,15,17
60,1,NamingWITHinterference.jpg,1,83,318.457831325301,908,0.350724483838437,1,27,31
60,2,NamingWITHOUTinterference.jpg,1,56,300.75,1708,0.176083138173302,1,17,17
60,3,ReadingWITHinterference.jpg,1,48,312.291666666667,936,0.333644943019943,1,20,13
60,4,ReadingWITHOUTinterference.jpg,1,43,269.53488372093,666,0.404707032614009,1,15,18
61,1,NamingWITHinterference.jpg,2,83,251.903614457831,1010,0.24940951926518,1,30,39
61,2,NamingWITHOUTinterference.jpg,2,55,243.963636363636,630,0.387243867243867,1,21,26
61,3,ReadingWITHOUTinterference.jpg,2,61,260.229508196721,1068,0.243660588199177,1,24,29
61,4,ReadingWITHinterference.jpg,2,44,242.954545454546,572,0.424745708836618,1,17,22
62,1,NamingWITHOUTinterference.jpg,3,84,249.619047619048,1194,0.209061178910425,1,32,37
62,2,NamingWITHinterference.jpg,3,121,489.404958677686,10922,0.0448090971138698,1,52,54
62,3,ReadingWITHinterference.jpg,3,149,450.375838926175,11520,0.039095124906786,1,64,68
62,4,ReadingWITHOUTinterference.jpg,3,76,290.947368421053,1732,0.167983469065273,1,33,33
63,1,NamingWITHOUTinterference.jpg,4,48,487.25,1386,0.351551226551227,1,20,21
