RECORDING_SESSION_LABEL,TRIAL_INDEX,image,experiment,n_fix,fix_mean,fix_max,norm_fix_mean,norm_fix_max,x_regressions,y_regressions,up_freq,down_freq,left_freq,right_freq,min_duration,avg_duration,max_duration,min_vel,avg_vel,max_vel,min_ampl,avg_ampl,max_ampl,min_angle,avg_angle,max_angle,min_distance,avg_distance,max_distance,min_slope,avg_slope,max_slope
19,3,ReadingWITHOUTinterference.jpg,2,58,278.8275862068966,1194,0.2335239415468146,1,23,28,0.0664136622390891,0.0474383301707779,0.3358633776091081,0.538899430740038,16,59.74573055028463,2448,1.65,107.74518026565464,331.15,0.14,6.156110056925996,31.95,-179.82,-5.13326375711575,179.79,5.682429058070117,211.35447253926063,1402.812763700131,-3.136617570258938,0.086644239680843,3.137300834447781
27,3,ReadingWITHOUTinterference.jpg,2,69,318.4347826086956,2144,0.1485236859182349,1,26,25,0.0664136622390891,0.0474383301707779,0.3358633776091081,0.538899430740038,16,59.74573055028463,2448,1.65,107.74518026565464,331.15,0.14,6.156110056925996,31.95,-179.82,-5.13326375711575,179.79,5.682429058070117,211.35447253926063,1402.812763700131,-3.136617570258938,0.086644239680843,3.137300834447781
37,3,ReadingWITHOUTinterference.jpg,2,59,232.9830508474576,582,0.4003145203564564,1,18,20,0.0664136622390891,0.0474383301707779,0.3358633776091081,0.538899430740038,16,59.74573055028463,2448,1.65,107.74518026565464,331.15,0.14,6.156110056925996,31.95,-179.82,-5.13326375711575,179.79,5.682429058070117,211.35447253926063,1402.812763700131,-3.136617570258938,0.086644239680843,3.137300834447781
45,3,ReadingWITHOUTinterference.jpg,2,56,273.1785714285714,1184,0.2307251447876448,1,26,28,0.0664136622390891,0.0474383301707779,0.3358633776091081,0.538899430740038,16,59.74573055028463,2448,1.65,107.74518026565464,331.15,0.14,6.156110056925996,31.95,-179.82,-5.13326375711575,179.79,5.682429058070117,211.35447253926063,1402.812763700131,-3.136617570258938,0.086644239680843,3.137300834447781
52,3,ReadingWITHOUTinterference.jpg,2,50,266.12,674,0.3948367952522255,1,23,22,0.0664136622390891,0.0474383301707779,0.3358633776091081,0.538899430740038,16,59.74573055028463,2448,1.65,107.74518026565464,331.15,0.14,6.156110056925996,31.95,-179.82,-5.13326375711575,179.79,5.682429058070117,211.35447253926063,1402.812763700131,-3.136617570258938,0.086644239680843,3.137300834447781
61,3,ReadingWITHOUTinterference.jpg,2,61,260.2295081967213,1068,0.2436605881991773,1,24,29,0.0664136622390891,0.0474383301707779,0.3358633776091081,0.538899430740038,16,59.74573055028463,2448,1.65,107.74518026565464,331.15,0.14,6.156110056925996,31.95,-179.82,-5.13326375711575,179.79,5.682429058070117,211.35447253926063,1402.812763700131,-3.136617570258938,0.086644239680843,3.137300834447781
2,4,ReadingWITHinterference.jpg,2,44,256.1818181818182,636,0.4028016009148085,1,17,20,0.0758620689655172,0.0436781609195402,0.3080459770114943,0.5563218390804597,16,56.2528735632184,1700,1.13,112.69324137931034,306.79,0.05,6.513908045977012,26.9,-179.95,-5.024229885057471,179.65,2.4020824298927272,221.17794328448628,1265.3797730325862,-3.133556087231867,0.0827339214956853,3.1403268314810613
11,4,ReadingWITHinterference.jpg,2,49,275.1020408163265,1648,0.1669308500099069,1,15,23,0.0758620689655172,0.0436781609195402,0.3080459770114943,0.5563218390804597,16,56.2528735632184,1700,1.13,112.69324137931034,306.79,0.05,6.513908045977012,26.9,-179.95,-5.024229885057471,179.65,2.4020824298927272,221.17794328448628,1265.3797730325862,-3.133556087231867,0.0827339214956853,3.1403268314810613
19,4,ReadingWITHinterference.jpg,2,60,290.1666666666667,1314,0.2208269913749366,1,25,30,0.0758620689655172,0.0436781609195402,0.3080459770114943,0.5563218390804597,16,56.2528735632184,1700,1.13,112.69324137931034,306.79,0.05,6.513908045977012,26.9,-179.95,-5.024229885057471,179.65,2.4020824298927272,221.17794328448628,1265.3797730325862,-3.133556087231867,0.0827339214956853,3.1403268314810613
27,4,ReadingWITHinterference.jpg,2,61,365.1475409836066,1984,0.1840461396086727,1,26,27,0.0758620689655172,0.0436781609195402,0.3080459770114943,0.5563218390804597,16,56.2528735632184,1700,1.13,112.69324137931034,306.79,0.05,6.513908045977012,26.9,-179.95,-5.024229885057471,179.65,2.4020824298927272,221.17794328448628,1265.3797730325862,-3.133556087231867,0.0827339214956853,3.1403268314810613
37,4,ReadingWITHinterference.jpg,2,49,251.265306122449,782,0.3213111331489117,1,13,20,0.0758620689655172,0.0436781609195402,0.3080459770114943,0.5563218390804597,16,56.2528735632184,1700,1.13,112.69324137931034,306.79,0.05,6.513908045977012,26.9,-179.95,-5.024229885057471,179.65,2.4020824298927272,221.17794328448628,1265.3797730325862,-3.133556087231867,0.0827339214956853,3.1403268314810613
45,4,ReadingWITHinterference.jpg,2,38,295.2631578947368,1124,0.2626896422551039,1,15,20,0.0758620689655172,0.0436781609195402,0.3080459770114943,0.5563218390804597,16,56.2528735632184,1700,1.13,112.69324137931034,306.79,0.05,6.513908045977012,26.9,-179.95,-5.024229885057471,179.65,2.4020824298927272,221.17794328448628,1265.3797730325862,-3.133556087231867,0.0827339214956853,3.1403268314810613
52,4,ReadingWITHinterference.jpg,2,44,252.4090909090909,964,0.2618351565447001,1,22,21,0.0758620689655172,0.0436781609195402,0.3080459770114943,0.5563218390804597,16,56.2528735632184,1700,1.13,112.69324137931034,306.79,0.05,6.513908045977012,26.9,-179.95,-5.024229885057471,179.65,2.4020824298927272,221.17794328448628,1265.3797730325862,-3.133556087231867,0.0827339214956853,3.1403268314810613
61,4,ReadingWITHinterference.jpg,2,44,242.9545454545455,572,0.4247457088366179,1,17,22,0.0758620689655172,0.0436781609195402,0.3080459770114943,0.5563218390804597,16,56.2528735632184,1700,1.13,112.69324137931034,306.79,0.05,6.513908045977012,26.9,-179.95,-5.024229885057471,179.65,2.4020824298927272,221.17794328448628,1265.3797730325862,-3.133556087231867,0.0827339214956853,3.1403268314810613
3,1,NamingWITHinterference.jpg,1,82,372.780487804878,1606,0.232117364760198,1,32,40,0.0564516129032258,0.0334101382488479,0.3490783410138249,0.5276497695852534,16,72.88248847926268,3542,0.34,94.79995391705069,352.16,0.02,5.233179723502304,37.17,-179.97,3.0763479262672813,179.92,0.7000000000000028,179.08566856922806,1308.397439618406,-3.1396357089254967,-0.0499878591611444,3.1407920132484604
10,1,NamingWITHinterference.jpg,1,129,298.5581395348837,1268,0.2354559460054288,1,60,69,0.0564516129032258,0.0334101382488479,0.3490783410138249,0.5276497695852534,16,72.88248847926268,3542,0.34,94.79995391705069,352.16,0.02,5.233179723502304,37.17,-179.97,3.0763479262672813,179.92,0.7000000000000028,179.08566856922806,1308.397439618406,-3.1396357089254967,-0.0499878591611444,3.1407920132484604
