experiment,image,Trial_Index_,CURRENT_SAC_DURATION,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_ANGLE,saccade_distance,saccade_slope,up_freq,down_freq,left_freq,right_freq
1,NamingWITHinterference.jpg,1,34,57.8,1.97,138.57,74.24452841792451,-2.280883518263066,0,0,1,0
1,NamingWITHinterference.jpg,1,36,82.4,2.97,2.63,97.3788991517156,-0.060625204847377635,0,0,0,1
1,NamingWITHinterference.jpg,1,42,143.58,6.03,1.57,194.22981233579975,-0.03656278140373752,0,0,0,1
1,NamingWITHinterference.jpg,1,62,124.66,7.73,-33.76,275.155101715378,0.7285739472492895,0,0,0,1
1,NamingWITHinterference.jpg,1,56,168.73,9.45,173.15,303.99745064720526,-2.9833661521286188,0,0,1,0
1,NamingWITHinterference.jpg,1,32,50.63,1.62,-23.97,54.966262379754376,0.5344913325869475,0,0,0,1
1,NamingWITHinterference.jpg,1,62,126.01,7.81,-18.8,259.39678101318066,0.42519176683774146,0,0,0,1
1,NamingWITHinterference.jpg,1,48,152.37,7.31,-165.18,239.48081342771493,2.8032033812567883,0,0,1,0
1,NamingWITHinterference.jpg,1,54,156.45,8.45,30.07,294.8439756888379,-0.6562539619294131,0,0,0,1
1,NamingWITHinterference.jpg,1,48,147.73,7.09,178.23,226.29118409695064,-3.1004835843841083,0,0,1,0
1,NamingWITHinterference.jpg,1,60,108.75,6.53,-2.69,208.00663450957524,0.06253876441270341,0,0,0,1
1,NamingWITHinterference.jpg,1,22,33.55,0.74,27.6,25.437374078312388,-0.6065391933616125,0,0,0,1
1,NamingWITHinterference.jpg,1,68,134.54,9.15,-26.64,320.4572358365465,0.5814248898625408,0,0,0,1
1,NamingWITHinterference.jpg,1,32,51.74,1.66,178.72,55.223183537351346,-3.1126152597382326,0,0,1,0
1,NamingWITHinterference.jpg,1,46,188.86,8.69,151.15,305.51865736808935,-2.5139995912357453,0,0,1,0
